,African American Studies,Anthropology,Bio-Engineering,Biological Sciences,Chemistry & Biochemistry,Chinese Studies,Cognitive Science,Communication,Computer Science,Data Science,Electrical & Computer Eng,Economics,Education Studies,Environmental Studies,Ethnic Studies,Gender Studies,Global Health,Global South Studies,Human Development Sciences,History,International Studies,Japanese Studies,Jewish Studies,Latin American Studies,Linguistics,Literature,Mechanical Engineering,Mathematics,Music,Nano Engineering,Philosophy,Physics,Political Science,Public Health,Psychology,Rady School of Management,Religion,Scripps Institute,Sociology,Structural Engineering,Theatre,Urban Studies,Visual Arts
Electrical & Computer Eng,0.16666666666666666,0.2857142857142857,0.9523809523809523,0.5238095238095237,0.8095238095238095,0.14285714285714285,0.7142857142857142,0.38095238095238093,0.9047619047619047,0.7619047619047619,1.0,0.6666666666666666,0.3571428571428571,0.19047619047619047,0.14285714285714285,0.3333333333333333,0.3571428571428571,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.40476190476190477,0.11904761904761904,0.3333333333333333,0.3333333333333333,0.47619047619047616,0.16666666666666666,0.9523809523809523,0.7619047619047619,0.5952380952380952,0.9523809523809523,0.47619047619047616,0.9047619047619047,0.21428571428571427,0.3571428571428571,0.45238095238095233,0.47619047619047616,0.42857142857142855,0.738095238095238,0.30952380952380953,0.9523809523809523,0.45238095238095233,0.30952380952380953,0.5952380952380952
Economics,0.40476190476190477,0.40476190476190477,0.30952380952380953,0.5714285714285714,0.5952380952380952,0.2857142857142857,0.5,0.5714285714285714,0.5238095238095237,0.5714285714285714,0.5952380952380952,1.0,0.6904761904761905,0.47619047619047616,0.3333333333333333,0.5238095238095237,0.5952380952380952,0.5476190476190476,0.6190476190476191,0.45238095238095233,0.8333333333333333,0.21428571428571427,0.23809523809523808,0.6666666666666666,0.40476190476190477,0.3333333333333333,0.5714285714285714,0.8095238095238095,0.38095238095238093,0.47619047619047616,0.6904761904761905,0.5714285714285714,0.7619047619047619,0.7619047619047619,0.6190476190476191,0.9285714285714285,0.5476190476190476,0.3333333333333333,0.5952380952380952,0.5476190476190476,0.40476190476190477,0.5952380952380952,0.3333333333333333
Education Studies,0.738095238095238,0.8095238095238095,0.8333333333333333,0.9047619047619047,0.8571428571428571,0.8809523809523809,0.9285714285714285,0.8809523809523809,0.8571428571428571,0.9285714285714285,0.7857142857142857,0.9761904761904762,1.0,0.9285714285714285,0.8333333333333333,0.8095238095238095,0.8809523809523809,0.7619047619047619,0.8809523809523809,0.7619047619047619,0.7619047619047619,0.8809523809523809,0.7619047619047619,0.738095238095238,0.9047619047619047,0.8809523809523809,0.7619047619047619,0.8333333333333333,0.8333333333333333,0.738095238095238,0.9047619047619047,0.8095238095238095,0.7857142857142857,0.8809523809523809,0.9523809523809523,0.9761904761904762,0.8571428571428571,0.8809523809523809,0.8809523809523809,0.7619047619047619,0.8809523809523809,0.8571428571428571,0.8809523809523809
Environmental Studies,0.8095238095238095,0.6904761904761905,0.5,0.6666666666666666,0.5476190476190476,0.6666666666666666,0.5238095238095237,0.5,0.3333333333333333,0.5238095238095237,0.21428571428571427,0.42857142857142855,0.738095238095238,1.0,0.7619047619047619,0.7619047619047619,0.5476190476190476,0.7142857142857142,0.6428571428571428,0.5476190476190476,0.6190476190476191,0.8571428571428571,0.9047619047619047,0.47619047619047616,0.26190476190476186,0.42857142857142855,0.38095238095238093,0.26190476190476186,0.3333333333333333,0.3333333333333333,0.5476190476190476,0.3571428571428571,0.5476190476190476,0.6428571428571428,0.5714285714285714,0.5238095238095237,0.47619047619047616,0.7142857142857142,0.6190476190476191,0.30952380952380953,0.3571428571428571,0.8095238095238095,0.38095238095238093
Ethnic Studies,0.9761904761904762,0.7619047619047619,0.47619047619047616,0.40476190476190477,0.45238095238095233,0.9285714285714285,0.47619047619047616,0.8333333333333333,0.38095238095238093,0.42857142857142855,0.3333333333333333,0.47619047619047616,0.8333333333333333,0.9523809523809523,1.0,0.9761904761904762,0.7142857142857142,0.8333333333333333,0.5714285714285714,0.9523809523809523,0.9047619047619047,0.9761904761904762,0.9523809523809523,0.9047619047619047,0.6190476190476191,0.9523809523809523,0.3333333333333333,0.3571428571428571,0.9285714285714285,0.3571428571428571,0.7619047619047619,0.45238095238095233,0.8333333333333333,0.6904761904761905,0.6904761904761905,0.5952380952380952,0.8095238095238095,0.45238095238095233,0.8333333333333333,0.2857142857142857,0.9047619047619047,0.8809523809523809,0.7857142857142857
Gender Studies,0.9523809523809523,0.6666666666666666,0.16666666666666666,0.26190476190476186,0.30952380952380953,0.5476190476190476,0.19047619047619047,0.6190476190476191,0.21428571428571427,0.14285714285714285,0.19047619047619047,0.38095238095238093,0.30952380952380953,0.6904761904761905,0.9285714285714285,1.0,0.6428571428571428,0.6904761904761905,0.5476190476190476,0.6666666666666666,0.738095238095238,0.738095238095238,0.8333333333333333,0.5714285714285714,0.3571428571428571,0.738095238095238,0.14285714285714285,0.2857142857142857,0.45238095238095233,0.19047619047619047,0.6666666666666666,0.23809523809523808,0.45238095238095233,0.42857142857142855,0.47619047619047616,0.21428571428571427,0.6666666666666666,0.19047619047619047,0.738095238095238,0.16666666666666666,0.38095238095238093,0.42857142857142855,0.5238095238095237
Global Health,0.45238095238095233,0.9047619047619047,0.38095238095238093,0.47619047619047616,0.21428571428571427,0.21428571428571427,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2857142857142857,0.14285714285714285,0.3571428571428571,0.40476190476190477,0.42857142857142855,0.42857142857142855,0.5,1.0,0.9047619047619047,0.8095238095238095,0.38095238095238093,0.6904761904761905,0.3571428571428571,0.26190476190476186,0.6904761904761905,0.023809523809523808,0.09523809523809523,0.19047619047619047,0.11904761904761904,0.09523809523809523,0.26190476190476186,0.16666666666666666,0.11904761904761904,0.42857142857142855,0.9761904761904762,0.7142857142857142,0.3571428571428571,0.5952380952380952,0.26190476190476186,0.45238095238095233,0.26190476190476186,0.16666666666666666,0.6190476190476191,0.047619047619047616
Global South Studies,0.9285714285714285,0.5952380952380952,0.047619047619047616,0.11904761904761904,0.09523809523809523,0.8333333333333333,0.07142857142857142,0.42857142857142855,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.5238095238095237,0.7142857142857142,0.7142857142857142,0.7857142857142857,0.738095238095238,0.9285714285714285,1.0,0.5238095238095237,0.9047619047619047,0.9761904761904762,0.7142857142857142,0.7857142857142857,0.9761904761904762,0.07142857142857142,0.8333333333333333,0.11904761904761904,0.07142857142857142,0.21428571428571427,0.047619047619047616,0.42857142857142855,0.09523809523809523,0.8571428571428571,0.7142857142857142,0.23809523809523808,0.23809523809523808,0.738095238095238,0.14285714285714285,0.7142857142857142,0.047619047619047616,0.14285714285714285,0.38095238095238093,0.26190476190476186
Human Development Sciences,0.5714285714285714,0.8571428571428571,0.3333333333333333,0.9523809523809523,0.6428571428571428,0.26190476190476186,0.8809523809523809,0.5476190476190476,0.30952380952380953,0.40476190476190477,0.23809523809523808,0.45238095238095233,0.6190476190476191,0.5476190476190476,0.26190476190476186,0.47619047619047616,0.7619047619047619,0.45238095238095233,1.0,0.3571428571428571,0.5238095238095237,0.14285714285714285,0.5,0.6428571428571428,0.5238095238095237,0.21428571428571427,0.26190476190476186,0.21428571428571427,0.26190476190476186,0.23809523809523808,0.5,0.5,0.19047619047619047,0.7857142857142857,0.8809523809523809,0.09523809523809523,0.7142857142857142,0.21428571428571427,0.5476190476190476,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.09523809523809523
History,0.8571428571428571,0.9523809523809523,0.5476190476190476,0.7857142857142857,0.7619047619047619,0.9761904761904762,0.6666666666666666,0.9047619047619047,0.5952380952380952,0.6904761904761905,0.7142857142857142,0.7857142857142857,0.9285714285714285,0.8571428571428571,0.9523809523809523,0.9285714285714285,0.8333333333333333,0.9523809523809523,0.8333333333333333,1.0,0.9523809523809523,0.9285714285714285,0.9285714285714285,0.9523809523809523,0.8809523809523809,0.9761904761904762,0.5476190476190476,0.6190476190476191,0.9047619047619047,0.5714285714285714,0.9285714285714285,0.6666666666666666,0.9523809523809523,0.8571428571428571,0.8095238095238095,0.7857142857142857,0.9523809523809523,0.7619047619047619,0.9523809523809523,0.5,0.9523809523809523,0.9047619047619047,0.9761904761904762
